donor,epsilon,alpha,emb_src,emb_tgt,geo_cost_linear,geo_cost_quad,converged,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity,combined_cost
s3d3,0.5,0.98,X_pca_norm,X_lsi_norm,True,False,True,0.2826,0.2413872832369942,0.0372818927275171,0.23529951,0.6399192159640237,0.5031755173113197,0.4247214561312128,0.4355505357012879,0.4813385251562967,True_False
s3d3,0.5,0.98,X_pca_norm,X_lsi_norm,False,True,True,0.2818,0.2326011560693641,0.038639602097056,0.23521529,0.6148171596505229,0.5033053813967854,0.4224899591771307,0.4360504532621134,0.482803243235309,False_True
s3d3,0.5,0.98,X_pca_norm,X_lsi_norm,False,False,True,0.357,0.1976878612716763,0.0366232020432851,0.23539713,0.5344030005385725,0.5028768586926162,0.3481850611366288,0.4355228935653291,0.5022173720868086,False_False
s3d3,0.5,0.98,X_scVI_norm,X_poissonVI_norm,True,True,True,0.2951,0.0235838150289017,0.0007662320204325,0.28173152,0.6273409951220876,0.4895671680569649,0.3828917776446505,0.3905335197915208,0.487487950944749,True_True
s3d3,0.5,0.98,X_scVI_norm,X_poissonVI_norm,True,False,True,0.304,0.0235838150289017,0.0007474122865976,0.28186926,0.6283857815998894,0.4892584318295121,0.3995396066327825,0.3902960924891066,0.4844059323198738,True_False
s3d3,0.5,0.98,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2907,0.0235838150289017,0.0007877402876732,0.28152806,0.6240837509073693,0.4897660100832581,0.3814779240143179,0.3913254715259081,0.4864163396981066,False_True
s3d3,0.5,0.98,X_scVI_norm,X_poissonVI_norm,False,False,True,0.4547,0.0235838150289017,0.0007339696195722,0.2822112,0.4201930344974235,0.4886628203094005,0.2446532814506118,0.3898914573556248,0.4595398998406779,False_False
s3d6,0.001,0.25,X_pca_norm,X_lsi_norm,True,True,False,0.2321,0.600357355568791,0.774757702095403,0.23382373,0.4186987680050245,0.5000332101881213,0.2061181526891834,0.6154145888977219,0.8816290876494062,True_True
s3d6,0.001,0.25,X_pca_norm,X_lsi_norm,True,False,False,0.2953,0.5991661703394878,0.8640785460320899,0.25993752,0.3989028989650707,0.4905359474942088,0.2047522128720313,0.7760491016661945,0.8492170030596775,True_False
s3d6,0.001,0.25,X_pca_norm,X_lsi_norm,False,True,False,0.3644,0.4723049434187016,1.005306188748714,0.30780876,0.2571166962624815,0.4842179976403713,0.1057019541383737,0.9647828166792968,0.7136212300454634,False_True
s3d6,0.001,0.25,X_pca_norm,X_lsi_norm,False,False,False,0.3675,0.4770696843359142,0.9934845777609328,0.30540842,0.2985085315866593,0.4841186571866274,0.1514911553054045,0.9597108152569376,0.7081849470954327,False_False
s3d6,0.001,0.25,X_scVI_norm,X_poissonVI_norm,True,True,False,0.2009,0.6057176891006552,0.5043947515656867,0.24889672,0.4884570478137454,0.4952808399684727,0.3091962638710544,0.6228506735720332,0.7939644381399487,True_True
s3d6,0.001,0.25,X_scVI_norm,X_poissonVI_norm,True,False,False,0.2354,0.5300774270399047,0.9778728319526414,0.30551678,0.4639167943761421,0.4851907836273312,0.3464785522292454,0.9007007015441307,0.6880819839130393,True_False
s3d6,0.001,0.25,X_scVI_norm,X_poissonVI_norm,False,True,False,0.2764,0.4883859440142942,1.018048261050048,0.3337548,0.4014859708302691,0.4799457658082247,0.3229373424729553,0.9451488544743752,0.5362195654426951,False_True
s3d6,0.001,0.25,X_scVI_norm,X_poissonVI_norm,False,False,False,0.274,0.4955330553901131,1.0078148970346708,0.33029646,0.401995623041039,0.4811235144734382,0.3225375677474307,0.9435896900977294,0.5995697965630957,False_False
s3d6,0.001,0.5,X_pca_norm,X_lsi_norm,True,True,True,0.1958,0.6057176891006552,0.7038821809518652,0.22691512,0.4674759341741496,0.5046501215547323,0.1961679384608261,0.517379096135032,0.8898369248855273,True_True
s3d6,0.001,0.5,X_pca_norm,X_lsi_norm,True,False,False,0.2938,0.6277546158427636,0.860017687295829,0.25821963,0.407024398575154,0.4910273319110274,0.2273614858463866,0.7435453171809058,0.8606222139903744,True_False
s3d6,0.001,0.5,X_pca_norm,X_lsi_norm,False,True,False,0.3613,0.4729005360333532,0.978540617611493,0.30294156,0.272818843583033,0.4854606138542294,0.137407043496458,0.9601401938126904,0.7015201545440239,False_True
s3d6,0.001,0.5,X_pca_norm,X_lsi_norm,False,False,False,0.3595,0.4889815366289458,0.9882144855343188,0.3042113,0.2805871124613094,0.4858613414689898,0.1655975564851672,0.9609461467083064,0.7048646747765424,False_False
s3d6,0.001,0.5,X_scVI_norm,X_poissonVI_norm,True,True,False,0.192,0.6146515783204288,0.3723175772014366,0.24057575,0.5091531836935603,0.498330689384602,0.3292058960509064,0.5258598849207465,0.7942451934592514,True_True
s3d6,0.001,0.5,X_scVI_norm,X_poissonVI_norm,True,False,False,0.2364,0.5241215008933889,0.9914631725233276,0.3077301,0.4583991819835372,0.4864960117265582,0.3462497833820807,0.8882155250218241,0.7296597881365842,True_False
s3d6,0.001,0.5,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2724,0.4961286480047647,0.9983756565054958,0.32767954,0.4096707041333985,0.4819779954850673,0.3268864296556292,0.9424134789044452,0.5765285086302386,False_True
s3d6,0.001,0.5,X_scVI_norm,X_poissonVI_norm,False,False,False,0.262,0.5014889815366289,1.0048008374393127,0.32422605,0.4322507967006834,0.486342110671103,0.3349870458477344,0.9444551662753932,0.58530983957856,False_False
s3d6,0.001,0.75,X_pca_norm,X_lsi_norm,True,True,True,0.1764,0.6033353186420488,0.6386196689948924,0.22508842,0.4856891940316131,0.5021813332568854,0.2168000594078963,0.4584230772975233,0.8739390660509627,True_True
s3d6,0.001,0.75,X_pca_norm,X_lsi_norm,True,False,True,0.3117,0.6140559857057772,0.8699442308733555,0.2649735,0.4194738706415023,0.4885842772200703,0.254176309017955,0.7560403155520606,0.893652905216869,True_False
s3d6,0.001,0.75,X_pca_norm,X_lsi_norm,False,True,True,0.3484,0.5032757593805837,0.9263269983937048,0.29054344,0.3369068441222224,0.487143974751234,0.1733731251436731,0.9291108841151344,0.7515492560694739,False_True
s3d6,0.001,0.75,X_pca_norm,X_lsi_norm,False,False,True,0.3345,0.5253126861226921,0.9068529247207032,0.28290704,0.3665737827530639,0.4880448738113045,0.1898653850737156,0.8832707518670457,0.8042893060860167,False_False
s3d6,0.001,0.75,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1897,0.5824895771292437,0.292129153356074,0.2375042,0.5069416518721969,0.496502996655181,0.3089946645204663,0.4736340133799724,0.8120490057258323,True_True
s3d6,0.001,0.75,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2414,0.4961286480047647,0.9964444925731406,0.3108957,0.4691635098467959,0.4906462086364627,0.3464020874518816,0.8820827872811569,0.7496577225355501,True_False
s3d6,0.001,0.75,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2606,0.5104228707564026,0.933528254552674,0.31344882,0.426556726537083,0.484794101677835,0.3330381333481611,0.9209191164008717,0.6461222834009406,False_True
s3d6,0.001,0.75,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2443,0.5402025014889815,0.9842258198422582,0.31092805,0.4558407297648892,0.4866981049999594,0.3441525049521251,0.9063615865839928,0.7011979235620598,False_False
s3d6,0.001,0.9,X_pca_norm,X_lsi_norm,True,True,True,0.1758,0.5854675402025015,0.5800891584095873,0.22587162,0.4800997909170703,0.4986519714584574,0.202322539477647,0.4226391623989641,0.8699550703412152,True_True
s3d6,0.001,0.9,X_pca_norm,X_lsi_norm,True,False,True,0.3371,0.5247170935080405,0.8770732939881243,0.2712299,0.38732418454557,0.4905292307958007,0.2725084199634865,0.7614542638902678,0.8477815653132362,True_False
s3d6,0.001,0.9,X_pca_norm,X_lsi_norm,False,True,True,0.3261,0.5300774270399047,0.8761708809356218,0.27012086,0.3662871035105536,0.4881507577374577,0.177990418196774,0.8490917212872933,0.7764237809406539,False_True
s3d6,0.001,0.9,X_pca_norm,X_lsi_norm,False,False,True,0.3308,0.4597974985110185,0.8810800079412349,0.27340788,0.3531462826529696,0.4899743199348449,0.2449945442337758,0.783690754878662,0.8086984438195198,False_False
s3d6,0.001,0.9,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1925,0.5038713519952353,0.2406735611023877,0.23678148,0.4979274181110819,0.4917877726256847,0.3135020679347494,0.4348796426081184,0.765864299870714,True_True
s3d6,0.001,0.9,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2497,0.4705181655747468,1.0042774378688613,0.31596825,0.4447227506678574,0.4905009092763066,0.3386273877852063,0.8705381325320315,0.7954322158869327,True_False
s3d6,0.001,0.9,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2408,0.51697438951757,0.8031656649881784,0.29077744,0.4603378784557463,0.4867087127640843,0.3439463924569848,0.85051647135431,0.7128900094577929,False_True
s3d6,0.001,0.9,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2563,0.4609886837403216,1.001281426534553,0.3181867,0.4267315614271582,0.4894433850422501,0.3289432579735117,0.8663904051021573,0.7447104865976262,False_False
s3d6,0.001,0.95,X_pca_norm,X_lsi_norm,True,True,True,0.1878,0.4871947587849911,0.5291389174653021,0.22781938,0.4709739818137072,0.4971510965842753,0.1880187984218627,0.4123940074215534,0.7995105133888232,True_True
s3d6,0.001,0.95,X_pca_norm,X_lsi_norm,True,False,True,0.3463,0.4645622394282311,0.879979064017182,0.27470112,0.3946200502452422,0.4893404552713036,0.2517891343412016,0.7627224994840947,0.8254913394979656,True_False
s3d6,0.001,0.95,X_pca_norm,X_lsi_norm,False,True,True,0.2944,0.5699821322215605,0.8450737271463894,0.2522785,0.4157928587991881,0.4895247127860784,0.3063020954898141,0.7490845144114694,0.8196050828703412,False_True
s3d6,0.001,0.95,X_pca_norm,X_lsi_norm,False,False,True,0.3421,0.4431209053007742,0.8830292201346401,0.27487537,0.3604712726918532,0.4889637483283877,0.2418584410307325,0.7671252969995499,0.8029499325672388,False_False
s3d6,0.001,0.95,X_scVI_norm,X_poissonVI_norm,True,True,True,0.197,0.4889815366289458,0.2131499630010649,0.23710212,0.4837038450216084,0.4882875308394432,0.2750986268462232,0.4225408825953771,0.7540887241350076,True_True
s3d6,0.001,0.95,X_scVI_norm,X_poissonVI_norm,True,False,True,0.255,0.4586063132817153,1.0020394534986554,0.3171033,0.436988611540763,0.4904809901490807,0.3349983576014363,0.8651404633153583,0.7646365402887467,True_False
s3d6,0.001,0.95,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2254,0.5443716497915426,0.6793004494017001,0.2705156,0.4767537846708707,0.4882261836901307,0.35285522083311,0.7587893731407905,0.7759878779338919,False_True
s3d6,0.001,0.95,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2629,0.4353782013103037,1.004548161784612,0.3204815,0.4128339529140959,0.4876595661044121,0.3172763024259788,0.8609635553883662,0.7461095124066484,False_False
s3d6,0.001,0.98,X_pca_norm,X_lsi_norm,True,True,True,0.2168,0.3019654556283502,0.4645622394282309,0.23036991,0.4846598591099429,0.4965409131255001,0.1972393286152558,0.4064485213012737,0.7683261373121375,True_True
s3d6,0.001,0.98,X_pca_norm,X_lsi_norm,True,False,True,0.346,0.4300178677784395,0.8808995253307343,0.27521908,0.3807734494420873,0.4892010055482387,0.2555857336197545,0.7589779958595106,0.8026263899404742,True_False
s3d6,0.001,0.98,X_pca_norm,X_lsi_norm,False,True,True,0.2441,0.5753424657534246,0.7769415416824589,0.23492628,0.4487478192479194,0.4954199315980077,0.3088086670946622,0.6091360756483647,0.8487240815996597,False_True
s3d6,0.001,0.98,X_pca_norm,X_lsi_norm,False,False,True,0.4048,0.3799880881477069,0.8847257566733445,0.28563944,0.331158123445847,0.4881592988967895,0.2437495998774567,0.7599884925487927,0.6789621217060516,False_False
s3d6,0.001,0.98,X_scVI_norm,X_poissonVI_norm,True,True,True,0.2066,0.4860035735556879,0.1821610987781328,0.2393732,0.4637222170114354,0.4843640066683292,0.2454398299933583,0.4354726692390079,0.7153553748758349,True_True
s3d6,0.001,0.98,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2623,0.4353782013103037,1.004764740917213,0.32009125,0.4298477327955692,0.4895737618207931,0.3303763695094317,0.8635766955713913,0.7264278727735864,True_False
s3d6,0.001,0.98,X_scVI_norm,X_poissonVI_norm,False,True,True,0.212,0.5378201310303752,0.5023913945891314,0.2509231,0.4874893039579052,0.4905286757275462,0.3561281260595628,0.6234988569987666,0.7952718552507032,False_True
s3d6,0.001,0.98,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2807,0.4133412745681953,1.00384427960366,0.32653117,0.4143946421659042,0.4852308966219425,0.3146288170701581,0.8437558920018758,0.6982582247514014,False_False
s3d6,0.005,0.25,X_pca_norm,X_lsi_norm,True,True,True,0.1833,0.5896366885050626,0.6716479867164797,0.22557285,0.4564086162479123,0.5038138718809932,0.2201991628307168,0.4791526774414333,0.8692848574566034,True_True
s3d6,0.005,0.25,X_pca_norm,X_lsi_norm,True,False,True,0.1911,0.6134603930911257,0.7204324363347592,0.22661845,0.4863181074645513,0.5048712245188653,0.2304762333323509,0.5036042257889188,0.8878055164185142,True_False
s3d6,0.005,0.25,X_pca_norm,X_lsi_norm,False,True,True,0.3576,0.4824300178677784,0.9565397873914848,0.29846716,0.3121651028016297,0.4860411044210195,0.1503497429146945,0.950591149374252,0.7250544517033144,False_True
s3d6,0.005,0.25,X_pca_norm,X_lsi_norm,False,False,False,0.3639,0.4740917212626563,0.9968235060551917,0.30684105,0.2536078109773541,0.4847894869744777,0.0998736498344672,0.9639891379184956,0.6996010271388572,False_False
s3d6,0.005,0.25,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1881,0.627159023228112,0.3099247387514214,0.23817353,0.5118457649616744,0.4999869371040404,0.3045344050973052,0.4848757772631958,0.7863809736611257,True_True
s3d6,0.005,0.25,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2085,0.5521143537820131,0.650188604327973,0.25943273,0.5158761006354401,0.4902169397100806,0.3806076827819618,0.680564482944779,0.8430249375842714,True_False
s3d6,0.005,0.25,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2725,0.4991066110780226,0.9757070406266356,0.3242161,0.405634723954869,0.4820157848298549,0.3246264788941759,0.937536448566816,0.5907193937557738,False_True
s3d6,0.005,0.25,X_scVI_norm,X_poissonVI_norm,False,False,False,0.2758,0.4955330553901131,1.012489396646633,0.33217853,0.4103992422248858,0.4805172551423311,0.3291364770258726,0.9443720872206705,0.5533174649753594,False_False
s3d6,0.005,0.5,X_pca_norm,X_lsi_norm,True,True,True,0.1743,0.5973793924955331,0.6093453895717147,0.22504233,0.4980961571892572,0.4993290929705836,0.2407448028247238,0.4312410148566035,0.8592218423668623,True_True
