donor,epsilon_1,epsilon_2,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity
s1d1,0.05,0.05,0.4809,0.1285347043701799,0.0810831121983581,0.2355740790391562,0.368893693317068,0.5017400823102307,0.2560196117059659,0.4352608372493228,0.4220663560644515
s1d1,0.05,0.1,0.4821,0.1283740359897172,0.0810792250601211,0.2355761537059909,0.3498936268031642,0.5017379628848258,0.2560810651639054,0.4352625823717844,0.4222160444171714
s1d1,0.05,0.5,0.4833,0.1285347043701799,0.0810753379218839,0.2355778421773753,0.350581013397938,0.5017364204601474,0.2494607551886243,0.4352640601669355,0.4200475009870222
s1d1,0.1,0.001,0.4904,0.1344794344473007,0.0774693693506923,0.2355308151948707,0.505418824875785,0.5025000753523025,0.2992692662253398,0.4345359153296267,0.4293288408291491
s1d1,0.1,0.005,0.4725,0.1344794344473007,0.0716347748569534,0.2355680033712418,0.4320779362441765,0.5019580680144081,0.2717623269968166,0.4336074181615047,0.4215443167036216
s1d1,0.1,0.01,0.4774,0.1344794344473007,0.0715712849324156,0.2355772178236515,0.4201470010701683,0.5019339659721412,0.269185214587517,0.4336098681450782,0.4223003527799267
s1d1,0.1,0.05,0.4834,0.1344794344473007,0.0715440749647566,0.2355852197513748,0.3737074417585156,0.5019214382248477,0.2599662368257333,0.4336154029501041,0.4217952139346477
s1d1,0.1,0.1,0.4845,0.1344794344473007,0.0715388921137739,0.2355862414631734,0.3583483534821283,0.5019202872553986,0.2592792780889955,0.4336162703500678,0.4240212236791624
s1d1,0.1,0.5,0.4856,0.1344794344473007,0.071535004975537,0.2355870728249213,0.3540424603096471,0.501919440813185,0.2572651853599741,0.4336170046341199,0.4222219554356438
s1d1,0.5,0.001,0.4637,0.134318766066838,0.064434499129281,0.2355866630543539,0.4788577022971917,0.5020486337868374,0.2914505181847824,0.432370626171263,0.4227321417121703
s1d1,0.5,0.005,0.4764,0.134318766066838,0.0638475412554938,0.2355953910362293,0.4359980061718467,0.5019038620950164,0.2717457388218573,0.4323003094886795,0.4247795009553481
s1d1,0.5,0.01,0.4811,0.134318766066838,0.0638345841280372,0.2355970337605356,0.4177320517244002,0.5018997806120343,0.267384924941465,0.4323009010009717,0.4248132346696823
s1d1,0.5,0.05,0.4866,0.134318766066838,0.0638255141388174,0.2355985195531979,0.3715483545005141,0.5018971461175435,0.2527355798978056,0.4323019535889212,0.4217049339649302
s1d1,0.5,0.1,0.4877,0.134318766066838,0.0638229227133261,0.2355987212386945,0.3574202760209104,0.5018968487348299,0.2598292029428312,0.4323021264380428,0.4280939232293367
s1d1,0.5,0.5,0.4889,0.134318766066838,0.0638229227133261,0.2355988853213988,0.3458610221016366,0.5018966175648004,0.2549046441149661,0.432302272725233,0.4274363218453154
